"YEAR","JURISDICTION","LOCATION","FINES","ARRESTS","CHARGES"
"2024","SA","Inner Regional Australia",52,0,0
"2024","SA","Inner Regional Australia",142,0,0
"2024","SA","Inner Regional Australia",144,0,0
"2024","SA","Inner Regional Australia",21,0,0
"2024","SA","Inner Regional Australia",28,0,0
"2024","SA","Inner Regional Australia",2,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",62,0,0
"2024","VIC","Inner Regional Australia",495,0,0
"2024","VIC","Inner Regional Australia",250,0,0
"2024","VIC","Inner Regional Australia",1544,0,0
"2024","VIC","Inner Regional Australia",513,0,0
"2024","VIC","Inner Regional Australia",2519,0,0
"2024","VIC","Inner Regional Australia",211,0,0
"2024","VIC","Inner Regional Australia",1154,0,0
"2024","VIC","Inner Regional Australia",21,0,0
"2024","VIC","Inner Regional Australia",96,0,0
"2024","NSW","Inner Regional Australia",8,0,2
"2024","NSW","Inner Regional Australia",1266,0,19
"2024","NSW","Inner Regional Australia",1895,0,10
"2024","NSW","Inner Regional Australia",2225,0,7
"2024","NSW","Inner Regional Australia",440,0,0
"2024","SA","Inner Regional Australia",1,0,0
"2024","SA","Inner Regional Australia",47,0,0
"2024","SA","Inner Regional Australia",91,0,0
"2024","SA","Inner Regional Australia",160,0,1
"2024","SA","Inner Regional Australia",86,0,0
"2024","SA","Inner Regional Australia",278,0,0
"2024","SA","Inner Regional Australia",306,0,4
"2024","SA","Inner Regional Australia",106,0,0
"2024","SA","Inner Regional Australia",486,0,0
"2024","SA","Inner Regional Australia",405,0,1
"2024","SA","Inner Regional Australia",28,0,0
"2024","SA","Inner Regional Australia",275,0,0
"2024","SA","Inner Regional Australia",121,0,0
"2024","SA","Inner Regional Australia",7,0,0
"2024","SA","Inner Regional Australia",30,0,0
"2024","SA","Inner Regional Australia",2,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",87,0,0
"2024","VIC","Inner Regional Australia",671,0,0
"2024","VIC","Inner Regional Australia",317,0,0
"2024","VIC","Inner Regional Australia",2246,0,0
"2024","VIC","Inner Regional Australia",606,0,0
"2024","VIC","Inner Regional Australia",3665,0,0
"2024","VIC","Inner Regional Australia",279,0,0
"2024","VIC","Inner Regional Australia",1525,0,0
"2024","VIC","Inner Regional Australia",15,0,0
"2024","VIC","Inner Regional Australia",128,0,0
"2024","NSW","Inner Regional Australia",7,0,0
"2024","NSW","Inner Regional Australia",1612,0,15
"2024","NSW","Inner Regional Australia",2322,0,15
"2024","NSW","Inner Regional Australia",2465,0,4
"2024","NSW","Inner Regional Australia",602,0,0
"2024","SA","Inner Regional Australia",19,0,0
"2024","SA","Inner Regional Australia",85,0,0
"2024","SA","Inner Regional Australia",193,0,2
"2024","SA","Inner Regional Australia",65,0,0
"2024","SA","Inner Regional Australia",239,0,0
"2024","SA","Inner Regional Australia",370,0,3
"2024","SA","Inner Regional Australia",87,0,0
"2024","SA","Inner Regional Australia",507,0,0
"2024","SA","Inner Regional Australia",481,0,1
"2024","SA","Inner Regional Australia",33,0,0
"2024","SA","Inner Regional Australia",234,0,0
"2024","SA","Inner Regional Australia",135,0,0
"2024","SA","Inner Regional Australia",17,0,0
"2024","SA","Inner Regional Australia",24,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",83,0,0
"2024","VIC","Inner Regional Australia",579,0,0
"2024","VIC","Inner Regional Australia",279,0,0
"2024","VIC","Inner Regional Australia",1616,0,0
"2024","VIC","Inner Regional Australia",609,0,0
"2024","VIC","Inner Regional Australia",2722,0,0
"2024","VIC","Inner Regional Australia",265,0,0
"2024","VIC","Inner Regional Australia",1358,0,0
"2024","VIC","Inner Regional Australia",28,0,0
"2024","VIC","Inner Regional Australia",87,0,0
"2024","NSW","Inner Regional Australia",6,0,2
"2024","NSW","Inner Regional Australia",1546,0,6
"2024","NSW","Inner Regional Australia",2261,0,13
"2024","NSW","Inner Regional Australia",2498,0,4
"2024","NSW","Inner Regional Australia",592,0,0
"2024","SA","Inner Regional Australia",36,0,0
"2024","SA","Inner Regional Australia",88,0,0
"2024","SA","Inner Regional Australia",183,0,1
"2024","SA","Inner Regional Australia",100,0,0
"2024","SA","Inner Regional Australia",306,0,0
"2024","SA","Inner Regional Australia",333,0,3
"2024","SA","Inner Regional Australia",113,0,0
"2024","SA","Inner Regional Australia",617,0,0
"2024","SA","Inner Regional Australia",442,2,3
"2024","SA","Inner Regional Australia",28,0,0
"2024","SA","Inner Regional Australia",423,0,0
"2024","SA","Inner Regional Australia",149,0,0
"2024","SA","Inner Regional Australia",11,0,0
"2024","SA","Inner Regional Australia",30,0,0
"2024","SA","Inner Regional Australia",4,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",2,0,0
"2024","VIC","Inner Regional Australia",47,0,0
"2024","VIC","Inner Regional Australia",361,0,0
"2024","VIC","Inner Regional Australia",185,0,0
"2024","VIC","Inner Regional Australia",1190,0,0
"2024","VIC","Inner Regional Australia",382,0,0
"2024","VIC","Inner Regional Australia",1741,0,0
"2024","VIC","Inner Regional Australia",177,0,0
"2024","VIC","Inner Regional Australia",898,0,0
"2024","VIC","Inner Regional Australia",16,0,0
"2024","VIC","Inner Regional Australia",72,0,0
"2024","NSW","Inner Regional Australia",8,0,0
"2024","NSW","Inner Regional Australia",1762,0,7
"2024","NSW","Inner Regional Australia",2586,0,6
"2024","NSW","Inner Regional Australia",2793,0,4
