"JURISDICTION","LOCATION","AGE_GROUP","FINES","ARRESTS","CHARGES","FINES_log"
"ACT","Major Cities of Australia","40-64",50,0,1,1.7075701760979363
"ACT","Major Cities of Australia","65 and over",542,0,0,2.7347998295888467
"ACT","Major Cities of Australia","65 and over",306,0,0,2.487138375477186
"ACT","Major Cities of Australia","65 and over",7,0,0,0.9030899869919434
"ACT","Major Cities of Australia","Unknown",64,0,0,1.8129133566428552
"ACT","Major Cities of Australia","Unknown",29,0,0,1.4771212547196624
"NSW","Inner Regional Australia","0-16",5,0,1,0.7781512503836435
"NSW","Inner Regional Australia","17-25",1310,0,11,3.117602691690084
"NSW","Inner Regional Australia","26-39",1959,0,5,3.2922560713564755
"NSW","Inner Regional Australia","40-64",2072,0,5,3.3165993020938602
"NSW","Inner Regional Australia","65 and over",508,0,0,2.7067177823367583
"NSW","Major Cities of Australia","0-16",6,0,0,0.8450980400142567
"NSW","Major Cities of Australia","17-25",1709,0,31,3.2329961103921536
"NSW","Major Cities of Australia","26-39",1838,0,28,3.264581729238077
"NSW","Major Cities of Australia","40-64",1705,0,10,3.231979026831504
"NSW","Major Cities of Australia","65 and over",258,0,0,2.4132997640812515
"NSW","Outer Regional Australia","0-16",0,0,1,0
"NSW","Outer Regional Australia","17-25",331,0,2,2.521138083704036
"NSW","Outer Regional Australia","26-39",557,0,2,2.746634198937578
"NSW","Outer Regional Australia","40-64",730,0,2,2.86391737695786
"NSW","Outer Regional Australia","65 and over",173,0,0,2.2405492482825995
"NSW","Remote Australia","17-25",31,0,0,1.5051499783199058
"NSW","Remote Australia","26-39",55,0,0,1.7481880270062005
"NSW","Remote Australia","40-64",70,0,0,1.851258348719075
"NSW","Remote Australia","65 and over",16,0,0,1.2304489213782739
"NSW","Unknown","17-25",32,0,0,1.5185139398778873
"NSW","Unknown","26-39",28,0,0,1.462397997898956
"NSW","Unknown","40-64",32,0,0,1.5185139398778873
"NSW","Unknown","65 and over",3,0,0,0.6020599913279623
"NSW","Unknown","Unknown",34831,0,0,4.541978411697018
"NSW","Unknown","Unknown",2595,0,0,3.414304688128331
"NSW","Unknown","Unknown",16954,0,0,4.229297794114105
"NSW","Very Remote Australia","17-25",1,0,0,0.30102999566398114
"NSW","Very Remote Australia","26-39",6,0,1,0.8450980400142567
"NSW","Very Remote Australia","40-64",8,0,0,0.9542425094393249
"NSW","Very Remote Australia","65 and over",1,0,0,0.30102999566398114
"NT","Unknown","0-16",3,0,0,0.6020599913279623
"NT","Unknown","0-16",5,0,0,0.7781512503836435
"NT","Unknown","0-16",1,0,0,0.30102999566398114
"NT","Unknown","17-25",136,0,0,2.1367205671564067
"NT","Unknown","17-25",387,0,0,2.5888317255942073
"NT","Unknown","17-25",0,0,4,0
"NT","Unknown","17-25",46,0,0,1.6720978579357173
"NT","Unknown","26-39",657,0,0,2.8182258936139553
"NT","Unknown","26-39",966,0,0,2.985426474083001
"NT","Unknown","26-39",0,1,5,0
"NT","Unknown","26-39",60,0,0,1.785329835010767
"NT","Unknown","40-64",836,0,0,2.9227254579932596
"NT","Unknown","40-64",1200,0,0,3.0795430074029055
"NT","Unknown","40-64",0,2,12,0
"NT","Unknown","40-64",71,0,0,1.8573324964312683
"NT","Unknown","65 and over",116,0,0,2.0681858617461617
"NT","Unknown","65 and over",279,0,0,2.447158031342219
"NT","Unknown","65 and over",7,0,0,0.9030899869919434
"NT","Unknown","Unknown",88,0,0,1.9493900066449126
"NT","Unknown","Unknown",129,0,0,2.1139433523068365
"QLD","Unknown","0-16",535,0,0,2.7291647896927698
"QLD","Unknown","0-16",829,0,0,2.9190780923760733
"QLD","Unknown","0-16",3,0,0,0.6020599913279623
"QLD","Unknown","17-25",2372,0,0,3.3752977382173386
"QLD","Unknown","17-25",5051,0,0,3.7034633418832925
"QLD","Unknown","17-25",2137,0,0,3.330007700872759
"QLD","Unknown","26-39",5487,0,0,3.7394141026986953
"QLD","Unknown","26-39",10198,0,0,4.008557591784246
"QLD","Unknown","26-39",3317,0,0,3.5208763816883417
"QLD","Unknown","40-64",8259,0,0,3.916980047320382
"QLD","Unknown","40-64",15045,0,0,4.177421057483168
"QLD","Unknown","40-64",3862,0,0,3.5869247081448203
"QLD","Unknown","65 and over",2153,0,0,3.3332456989619623
"QLD","Unknown","65 and over",3988,0,0,3.600864036309839
"QLD","Unknown","65 and over",793,0,0,2.899820502427096
"QLD","Unknown","Unknown",58,0,0,1.7708520116421442
"QLD","Unknown","Unknown",86,0,0,1.9395192526186182
"SA","Inner Regional Australia","0-16",0,1,0,0
"SA","Inner Regional Australia","17-25",31,0,0,1.5051499783199058
"SA","Inner Regional Australia","17-25",126,0,0,2.103803720955957
"SA","Inner Regional Australia","17-25",245,1,2,2.390935107103379
"SA","Inner Regional Australia","26-39",94,0,0,1.9777236052888476
"SA","Inner Regional Australia","26-39",422,0,0,2.626340367375042
"SA","Inner Regional Australia","26-39",400,0,1,2.603144372620182
"SA","Inner Regional Australia","40-64",117,0,0,2.0718820073061255
"SA","Inner Regional Australia","40-64",836,0,0,2.9227254579932596
"SA","Inner Regional Australia","40-64",514,0,3,2.7118072290411908
"SA","Inner Regional Australia","65 and over",32,0,0,1.5185139398778873
"SA","Inner Regional Australia","65 and over",377,0,0,2.577491799837225
"SA","Inner Regional Australia","65 and over",142,0,0,2.1553360374650614
"SA","Inner Regional Australia","Unknown",20,0,0,1.322219294733919
"SA","Inner Regional Australia","Unknown",47,0,0,1.6812412373755872
"SA","Major Cities of Australia","17-25",402,0,0,2.605305046141109
"SA","Major Cities of Australia","17-25",593,0,0,2.7737864449811935
"SA","Major Cities of Australia","17-25",238,0,4,2.3783979009481375
"SA","Major Cities of Australia","26-39",878,0,0,2.9439888750737717
"SA","Major Cities of Australia","26-39",1619,0,0,3.2095150145426303
"SA","Major Cities of Australia","26-39",325,1,5,2.513217600067939
"SA","Major Cities of Australia","40-64",1816,0,0,3.259354927308034
"SA","Major Cities of Australia","40-64",2360,0,0,3.373095987078727
"SA","Major Cities of Australia","40-64",394,1,3,2.59659709562646
"SA","Major Cities of Australia","65 and over",673,0,0,2.8286598965353194
"SA","Major Cities of Australia","65 and over",718,0,0,2.8567288903828825
"SA","Major Cities of Australia","65 and over",85,0,0,1.9344984512435675
"SA","Major Cities of Australia","Unknown",116,0,0,2.0681858617461617
"SA","Major Cities of Australia","Unknown",135,0,0,2.1335389083702174
"SA","Major Cities of Australia","Unknown",2,0,0,0.47712125471966244
"SA","Outer Regional Australia","0-16",2,0,0,0.47712125471966244
"SA","Outer Regional Australia","17-25",15,0,0,1.2041199826559246
"SA","Outer Regional Australia","17-25",42,0,0,1.6334684555795864
"SA","Outer Regional Australia","17-25",211,0,1,2.326335860928751
"SA","Outer Regional Australia","26-39",49,0,0,1.6989700043360185
"SA","Outer Regional Australia","26-39",119,0,0,2.0791812460476247
"SA","Outer Regional Australia","26-39",381,0,1,2.5820633629117085
"SA","Outer Regional Australia","40-64",62,0,0,1.7993405494535815
"SA","Outer Regional Australia","40-64",170,0,0,2.2329961103921536
"SA","Outer Regional Australia","40-64",502,0,2,2.7015679850559273
"SA","Outer Regional Australia","65 and over",18,0,0,1.2787536009528289
"SA","Outer Regional Australia","65 and over",64,0,0,1.8129133566428552
"SA","Outer Regional Australia","65 and over",153,0,0,2.187520720836463
"SA","Outer Regional Australia","Unknown",6,0,0,0.8450980400142567
"SA","Outer Regional Australia","Unknown",8,0,0,0.9542425094393249
"SA","Outer Regional Australia","Unknown",2,0,0,0.47712125471966244
"SA","Remote Australia","17-25",12,0,0,1.1139433523068367
"SA","Remote Australia","17-25",45,0,0,1.6627578316815739
"SA","Remote Australia","26-39",29,0,0,1.4771212547196624
"SA","Remote Australia","26-39",84,0,0,1.9294189257142926
"SA","Remote Australia","40-64",41,0,0,1.6232492903979003
"SA","Remote Australia","40-64",106,0,0,2.0293837776852093
"SA","Remote Australia","65 and over",16,0,0,1.2304489213782739
"SA","Remote Australia","65 and over",31,0,0,1.5051499783199058
"SA","Remote Australia","Unknown",2,0,0,0.47712125471966244
"SA","Unknown","17-25",4,0,0,0.6989700043360187
"SA","Unknown","17-25",23,0,0,1.380211241711606
"SA","Unknown","26-39",2,0,0,0.47712125471966244
"SA","Unknown","26-39",38,0,0,1.591064607026499
"SA","Unknown","40-64",7,0,0,0.9030899869919434
"SA","Unknown","40-64",47,0,0,1.6812412373755872
"SA","Unknown","65 and over",5,0,0,0.7781512503836435
"SA","Unknown","65 and over",22,0,0,1.3617278360175928
"SA","Very Remote Australia","17-25",42,0,1,1.6334684555795864
"SA","Very Remote Australia","26-39",79,0,0,1.9030899869919433
"SA","Very Remote Australia","40-64",1,0,0,0.30102999566398114
"SA","Very Remote Australia","40-64",74,1,0,1.8750612633916997
"SA","Very Remote Australia","65 and over",13,0,0,1.1461280356782377
"SA","Very Remote Australia","Unknown",1,0,0,0.30102999566398114
"TAS","Unknown","0-16",0,0,1,0
"TAS","Unknown","17-25",444,0,0,2.648360010980931
"TAS","Unknown","17-25",274,0,14,2.4393326938302624
"TAS","Unknown","26-39",1291,0,0,3.111262513659065
"TAS","Unknown","26-39",472,0,8,2.674861140737811
"TAS","Unknown","40-64",1737,0,0,3.2400497721126476
"TAS","Unknown","40-64",545,0,7,2.737192642704737
"TAS","Unknown","65 and over",611,0,0,2.786751422145561
"TAS","Unknown","65 and over",192,0,0,2.2855573090077734
"TAS","Unknown","Unknown",1,0,0,0.30102999566398114
"TAS","Unknown","Unknown",1,0,0,0.30102999566398114
"VIC","Inner Regional Australia","0-16",0,0,0,0
"VIC","Inner Regional Australia","0-16",0,0,0,0
